prefecture,area,code
Hokkaido,Hokkaido,1
Aomori,Tohoku,2
Iwate,Tohoku,2
Miyagi,Tohoku,2
Akita,Tohoku,2
Yamagata,Tohoku,2
Fukushima,Tohoku,2
Ibaraki,Kanto,3
Tochigi,Kanto,3
Gunma,Kanto,3
Saitama,Kanto,3
Chiba,Kanto,3
Tokyo,Kanto,3
Kanagawa,Kanto,3
Niigata,Chubu,4
Toyama,Chubu,4
Ishikawa,Chubu,4
Fukui,Chubu,4
Yamanashi,Chubu,4
Nagano,Chubu,4
Gifu,Chubu,4
Shizuoka,Chubu,4
Aichi,Chubu,4
Mie,Kinki,5
Shiga,Kinki,5
Kyoto,Kinki,5
Osaka,Kinki,5
Hyogo,Kinki,5
Nara,Kinki,5
Wakayama,Kinki,5
Tottori,Chugoku,6
Shimane,Chugoku,6
Okayama,Chugoku,6
Hiroshima,Chugoku,6
Yamaguchi,Chugoku,6
Tokushima,Shikoku,7
Kagawa,Shikoku,7
Ehime,Shikoku,7
Kochi,Shikoku,7
Fukuoka,Kyushu,8
Saga,Kyushu,8
Nagasaki,Kyushu,8
Kumamoto,Kyushu,8
Oita,Kyushu,8
Miyazaki,Kyushu,8
Kagoshima,Kyushu,8
Okinawa,Kyushu,8
