"","Google","Microsoft","Amazon","Facebook","IBM","Apple"
"2012-06-01",284.827393,28.76,208.440002,28.889999,190.119995,81.308571
"2012-06-04",284.045319,28.620001,207.399994,27.200001,188.339996,80.214287
"2012-06-05",286.650574,28.51,213.850006,26.700001,187.919998,80.181427
"2012-06-06",287.163635,28.879999,214.630005,26.07,190.779999,81.110001
"2012-06-07",292.702881,29.639999,219.649994,27,195.279999,82.470001
"2012-06-08",286.849823,29.209999,218.610001,26.549999,193.710007,81.657143
"2012-06-11",291.014221,29.73,217.490005,27.18,196.600006,83.959999
"2012-06-12",283.821167,29.1,217.649994,27.48,192.139999,82.065712
"2012-06-13",279.811188,29.219999,215.520004,27.66,194.360001,82.074287
"2012-06-14",279.60199,29.33,215.259995,27.65,193,81.605713
"2012-06-15",279.123779,29.59,215.289993,28.51,196.080002,81.571426
"2012-06-18",280.259521,29.99,217.279999,29.959999,197.570007,81.565712
"2012-06-19",285.72403,30.190001,223.259995,31.540001,198.830002,83.342857
"2012-06-20",288.822418,30.93,224.509995,31.92,198.699997,84.029999
"2012-06-21",288.837372,30.959999,223.839996,31.67,199.070007,83.634285
"2012-06-22",282.939484,30.299999,221.830002,32.41,193.869995,82.720001
"2012-06-25",282.605713,30.299999,220.300003,32.860001,192.479996,82.471428
"2012-06-26",280.329254,30,221.449997,32.689999,193.539993,81.618568
"2012-06-27",282.790039,30.190001,225.009995,32.459999,192.139999,82.14286
"2012-06-28",281.893402,29.98,223.919998,31.959999,191.229996,81.667145
"2012-06-29",286.406464,30.450001,224.699997,31.92,194.550003,82.571426
"2012-07-02",289.823669,30.620001,229.300003,31.25,196.360001,83.53286
"2012-07-03",288.922058,30.23,229.139999,30.91,195.460007,84.982857
"2012-07-05",293.280701,30.59,228.619995,31.32,194.880005,85.794289
"2012-07-06",295.118835,30.610001,226.350006,31.440001,193.919998,86.727142
"2012-07-09",291.382813,30.120001,225,32.099998,190.759995,86.471428
"2012-07-10",293.993042,30.08,226.25,32.43,190.300003,88.281425
"2012-07-11",287.073975,29.709999,218.949997,31.48,186.220001,86.58857
"2012-07-12",282.501129,29.15,216.610001,30.700001,184.25,85.748573
"2012-07-13",285.006714,28.76,215.630005,31.040001,183.460007,86.135712
"2012-07-16",287.108856,29.48,216.600006,30.5,185.580002,86.445717
"2012-07-17",288.13501,29.639999,217.449997,28.48,185.729996,87.255714
"2012-07-18",287.41272,29.6,216.149994,28.309999,184.149994,86.655716
"2012-07-19",291.975616,30.51,220.729996,29.41,193.399994,87.325714
"2012-07-20",303.243378,31,225.360001,29,194.089996,87.575714
"2012-07-23",299.118835,29.57,224.720001,28.120001,189.779999,84.914284
"2012-07-24",306.351715,29.24,226.270004,28.82,190.919998,86.76857
"2012-07-25",303.0242,29.24,222,28.389999,190.309998,82.065712
"2012-07-26",306.351715,29.23,220,27.75,193.490005,82.822861
"2012-07-27",308.289459,29.48,225.25,23.190001,195.100006,82.144287
"2012-07-30",316.837402,29.75,237,24,196.320007,84.417145
"2012-07-31",312.95697,29.48,235.100006,23.370001,196.5,86.175713
"2012-08-01",317.460083,29.59,234.139999,21.5,196.960007,87.987144
"2012-08-02",311.587097,29.209999,230.559998,20.77,194.160004,86.120003
"2012-08-03",318.805054,29.530001,234.029999,20.360001,196.479996,87.66143
"2012-08-06",318.610779,30,235.559998,21.389999,198.759995,88.184288
"2012-08-07",319.696686,30.07,234.130005,22.200001,199.429993,88.96714
"2012-08-08",318.331818,30.209999,235.289993,20.709999,198.270004,88.484283
"2012-08-09",321.051605,30.389999,233.929993,20.75,198.619995,88.264282
"2012-08-10",318.102661,30.5,233.080002,21.41,197.869995,88.387146
"2012-08-13",322.50119,30.35,232.229996,22.15,198.880005,89.055717
"2012-08-14",328.394104,30.299999,234.710007,21.41,198.880005,90.267143
"2012-08-15",333.888489,30.110001,232.259995,20.639999,198.899994,90.185715
"2012-08-16",332.508667,30.360001,237.720001,20.440001,198.770004,90.172859
"2012-08-17",335.801331,30.92,240.600006,20.01,201.080002,91.428574
"2012-08-20",336.48877,30.82,241.369995,19.049999,200.690002,92.858574
"2012-08-21",335.298218,30.76,240.880005,19.58,200.990005,95.831429
"2012-08-22",332.443909,30.59,239.399994,19.360001,198.639999,93.488571
"2012-08-23",335.876068,30.389999,242.139999,19.5,197.039993,95.158569
"2012-08-24",336.538574,30.25,241.679993,19.52,194.960007,94.215714
"2012-08-27",330.257111,30.93,245.789993,19.49,197.960007,97.141426
"2012-08-28",331.258362,30.700001,243.970001,19.1,195.559998,96.425713
"2012-08-29",337.420258,30.65,246.779999,19.32,195.130005,96.464287
"2012-08-30",340.842438,30.530001,246.990005,19.27,194.770004,95.805717
"2012-08-31",340.7229,30.6,248.070007,18.68,194.309998,95.321426
"2012-09-04",340.996857,30.450001,248.270004,18.08,196.610001,95.108574
"2012-09-05",338.730347,30.219999,247.610001,18.27,194.410004,96.510002
"2012-09-06",341.699219,30.5,248.229996,18.74,196.259995,96.167145
"2012-09-07",348.693024,31.040001,253.850006,19.1,199.119995,96.864288
