"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2019年03月08日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","A1101","","A1301","","A1303","","B1101","","#A06601","","#A06602","","#F01301","","#M0210101","","#M0210201",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A1301_１５歳未満人口【人】","注釈","A1303_６５歳以上人口【人】","注釈","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","注釈","#A06601_婚姻率（人口千人当たり）【‐】","注釈","#A06602_離婚率（人口千人当たり）【‐】","注釈","#F01301_完全失業率【％】","注釈","#M0210101_仕事の平均時間［有業者・男］【分】","注釈","#M0210201_仕事の平均時間［有業者・女］【分】","注釈"
"2017100000","2017年度","01000","北海道","","5,320,000","","588,000","","1,632,000","","7,842,078","","4.50","","1.91","","***","","***","","***",""
"2017100000","2017年度","02000","青森県","","1,278,000","","141,000","","407,000","","964,564","","4.01","","1.64","","***","","***","","***",""
"2017100000","2017年度","03000","岩手県","","1,255,000","","144,000","","400,000","","1,527,501","","3.80","","1.48","","***","","***","","***",""
"2017100000","2017年度","04000","宮城県","","2,323,000","","280,000","","631,000","","728,222","","4.58","","1.61","","***","","***","","***",""
"2017100000","2017年度","05000","秋田県","","996,000","","101,000","","354,000","","1,163,752","","3.32","","1.37","","***","","***","","***",""
"2017100000","2017年度","06000","山形県","","1,102,000","","130,000","","355,000","","932,315","","3.91","","1.32","","***","","***","","***",""
"2017100000","2017年度","07000","福島県","","1,882,000","","220,000","","569,000","","1,378,390","","4.29","","1.70","","***","","***","","***",""
"2017100000","2017年度","08000","茨城県","","2,892,000","","355,000","","819,000","","609,719","","4.42","","1.62","","***","","***","","***",""
"2017100000","2017年度","09000","栃木県","","1,957,000","","245,000","","536,000","","640,809","","4.49","","1.64","","***","","***","","***",""
"2017100000","2017年度","10000","群馬県","","1,960,000","","241,000","","567,000","","636,228","","4.25","","1.61","","***","","***","","***",""
"2017100000","2017年度","11000","埼玉県","","7,310,000","","899,000","","1,900,000","","379,775","","4.61","","1.66","","***","","***","","***",""
"2017100000","2017年度","12000","千葉県","","6,246,000","","755,000","","1,692,000","","515,761","","4.59","","1.66","","***","","***","","***",""
"2017100000","2017年度","13000","東京都","","13,724,000","","1,542,000","","3,160,000","","219,396","","6.19","","1.68","","***","","***","","***",""
"2017100000","2017年度","14000","神奈川県","","9,159,000","","1,122,000","","2,274,000","","241,617","","5.05","","1.68","","***","","***","","***",""
"2017100000","2017年度","15000","新潟県","","2,267,000","","265,000","","709,000","","1,258,415","","3.93","","1.28","","***","","***","","***",""
"2017100000","2017年度","16000","富山県","","1,056,000","","124,000","","334,000","","424,761","","4.13","","1.32","","***","","***","","***",""
"2017100000","2017年度","17000","石川県","","1,147,000","","145,000","","331,000","","418,605","","4.51","","1.34","","***","","***","","***",""
"2017100000","2017年度","18000","福井県","","779,000","","101,000","","232,000","","419,051","","4.34","","1.39","","***","","***","","***",""
"2017100000","2017年度","19000","山梨県","","823,000","","99,000","","245,000","","446,527","","4.39","","1.67","","***","","***","","***",""
"2017100000","2017年度","20000","長野県","","2,076,000","","260,000","","647,000","","1,356,156","","4.32","","1.55","","***","","***","","***",""
"2017100000","2017年度","21000","岐阜県","","2,008,000","","258,000","","589,000","","1,062,129","","4.18","","1.48","","***","","***","","***",""
"2017100000","2017年度","22000","静岡県","","3,675,000","","464,000","","1,069,000","","777,742","","4.51","","1.63","","***","","***","","***",""
"2017100000","2017年度","23000","愛知県","","7,525,000","","1,010,000","","1,852,000","","517,292","","5.33","","1.66","","***","","***","","***",""
"2017100000","2017年度","24000","三重県","","1,800,000","","226,000","","522,000","","577,441","","4.41","","1.55","","***","","***","","***",""
"2017100000","2017年度","25000","滋賀県","","1,413,000","","200,000","","357,000","","401,738","","4.66","","1.56","","***","","***","","***",""
"2017100000","2017年度","26000","京都府","","2,599,000","","308,000","","743,000","","461,220","","4.57","","1.58","","***","","***","","***",""
"2017100000","2017年度","27000","大阪府","","8,823,000","","1,069,000","","2,399,000","","190,514","","5.15","","1.92","","***","","***","","***",""
"2017100000","2017年度","28000","兵庫県","","5,503,000","","692,000","","1,558,000","","840,094","","4.63","","1.66","","***","","***","","***",""
"2017100000","2017年度","29000","奈良県","","1,348,000","","163,000","","408,000","","369,094","","4.07","","1.52","","***","","***","","***",""
"2017100000","2017年度","30000","和歌山県","","945,000","","112,000","","304,000","","472,464","","4.28","","1.81","","***","","***","","***",""
"2017100000","2017年度","31000","鳥取県","","565,000","","72,000","","175,000","","350,713","","4.27","","1.58","","***","","***","","***",""
"2017100000","2017年度","32000","島根県","","685,000","","85,000","","230,000","","670,806","","3.89","","1.51","","***","","***","","***",""
"2017100000","2017年度","33000","岡山県","","1,907,000","","243,000","","567,000","","711,432","","4.63","","1.70","","***","","***","","***",""
"2017100000","2017年度","34000","広島県","","2,829,000","","368,000","","809,000","","847,963","","4.66","","1.63","","***","","***","","***",""
"2017100000","2017年度","35000","山口県","","1,383,000","","164,000","","462,000","","611,253","","4.11","","1.59","","***","","***","","***",""
"2017100000","2017年度","36000","徳島県","","743,000","","85,000","","241,000","","414,680","","4.02","","1.57","","***","","***","","***",""
"2017100000","2017年度","37000","香川県","","967,000","","120,000","","301,000","","187,677","","4.46","","1.74","","***","","***","","***",""
"2017100000","2017年度","38000","愛媛県","","1,364,000","","164,000","","437,000","","567,623","","4.14","","1.70","","***","","***","","***",""
"2017100000","2017年度","39000","高知県","","714,000","","80,000","","244,000","","710,386","","4.02","","1.78","","***","","***","","***",""
"2017100000","2017年度","40000","福岡県","","5,107,000","","675,000","","1,384,000","","498,652","","5.07","","1.88","","***","","***","","***",""
"2017100000","2017年度","41000","佐賀県","","824,000","","113,000","","240,000","","244,068","","4.42","","1.56","","***","","***","","***",""
"2017100000","2017年度","42000","長崎県","","1,354,000","","173,000","","424,000","","413,088","","4.31","","1.54","","***","","***","","***",""
"2017100000","2017年度","43000","熊本県","","1,765,000","","237,000","","531,000","","740,948","","4.47","","1.62","","***","","***","","***",""
"2017100000","2017年度","44000","大分県","","1,152,000","","143,000","","367,000","","634,073","","4.36","","1.69","","***","","***","","***",""
"2017100000","2017年度","45000","宮崎県","","1,089,000","","146,000","","338,000","","773,532","","4.30","","1.96","","***","","***","","***",""
"2017100000","2017年度","46000","鹿児島県","","1,626,000","","217,000","","501,000","","918,701","","4.39","","1.70","","***","","***","","***",""
"2017100000","2017年度","47000","沖縄県","","1,443,000","","247,000","","303,000","","228,098","","5.60","","2.41","","***","","***","","***",""
"2016100000","2016年度","01000","北海道","","5,352,000","","600,000","","1,602,000","","7,842,076","","4.60","","1.96","","***","","427","","289",""
"2016100000","2016年度","02000","青森県","","1,293,000","","145,000","","401,000","","964,556","","3.97","","1.67","","***","","416","","335",""
"2016100000","2016年度","03000","岩手県","","1,268,000","","147,000","","395,000","","1,527,501","","3.84","","1.48","","***","","413","","336",""
"2016100000","2016年度","04000","宮城県","","2,330,000","","285,000","","616,000","","728,222","","4.78","","1.62","","***","","403","","300",""
"2016100000","2016年度","05000","秋田県","","1,010,000","","104,000","","351,000","","1,163,752","","3.48","","1.38","","***","","399","","315",""
"2016100000","2016年度","06000","山形県","","1,113,000","","133,000","","351,000","","932,315","","3.85","","1.37","","***","","399","","329",""
"2016100000","2016年度","07000","福島県","","1,901,000","","225,000","","560,000","","1,378,374","","4.57","","1.72","","***","","421","","329",""
"2016100000","2016年度","08000","茨城県","","2,905,000","","361,000","","801,000","","609,712","","4.54","","1.66","","***","","405","","279",""
"2016100000","2016年度","09000","栃木県","","1,966,000","","249,000","","525,000","","640,809","","4.74","","1.74","","***","","409","","280",""
"2016100000","2016年度","10000","群馬県","","1,967,000","","247,000","","558,000","","636,228","","4.29","","1.65","","***","","422","","296",""
"2016100000","2016年度","11000","埼玉県","","7,289,000","","907,000","","1,857,000","","379,775","","4.69","","1.71","","***","","399","","264",""
"2016100000","2016年度","12000","千葉県","","6,236,000","","762,000","","1,655,000","","515,764","","4.75","","1.70","","***","","404","","272",""
"2016100000","2016年度","13000","東京都","","13,624,000","","1,535,000","","3,120,000","","219,100","","6.31","","1.72","","***","","389","","276",""
"2016100000","2016年度","14000","神奈川県","","9,145,000","","1,135,000","","2,232,000","","241,592","","5.11","","1.71","","***","","412","","273",""
"2016100000","2016年度","15000","新潟県","","2,286,000","","271,000","","700,000","","1,258,418","","4.07","","1.31","","***","","421","","311",""
"2016100000","2016年度","16000","富山県","","1,061,000","","127,000","","330,000","","424,761","","4.23","","1.29","","***","","411","","315",""
"2016100000","2016年度","17000","石川県","","1,151,000","","147,000","","327,000","","418,609","","4.45","","1.44","","***","","426","","294",""
"2016100000","2016年度","18000","福井県","","782,000","","102,000","","229,000","","419,049","","4.42","","1.43","","***","","422","","304",""
"2016100000","2016年度","19000","山梨県","","830,000","","101,000","","242,000","","446,527","","4.43","","1.65","","***","","403","","294",""
