月,日,気温,降水量,日射量,風速
1,1,6.2,0,11.59,2.7
1,2,6.1,0,11.89,3.2
1,3,4.9,0,11.77,5.2
1,4,4.7,0,11.99,2.8
1,5,3.7,0,4.07,1.8
1,6,4.6,0,11.54,1.9
1,7,6.3,0,11.88,2.8
1,8,5.5,8,3.52,1.9
1,9,8.5,1.5,8.34,2.7
1,10,7.5,0,12.24,4.7
1,11,5.3,0,12.27,2.4
1,12,2.7,0,12.36,2
1,13,2.7,0,12.35,2.3
1,14,4.1,0,12.9,3.1
1,15,4.2,0,11.53,2
1,16,7.1,0,12.06,1.6
1,17,6.9,15,2.72,2.1
1,18,8.3,0,8.78,1.9
1,19,8.4,0,8.64,2.7
1,20,6.3,0,6.97,1.6
1,21,7,0,12.19,2.1
1,22,1.7,24,0.92,3
1,23,3.7,0,13.07,2.8
1,24,2.2,0,13.32,3.3
1,25,0,0,14.2,2.9
1,26,0.5,0,12.66,3.8
1,27,2.6,0,14.31,4.3
1,28,1.7,0,4.72,1.9
1,29,3.7,0,11.99,2.1
1,30,3.3,0,9.05,2.2
1,31,3.9,0,13.04,2
2,1,3,9,4.09,2.3
2,2,1.9,6,2.95,2.4
2,3,4.5,0,9.54,1.9
2,4,5.4,0,10.96,2.3
2,5,4.3,0,13.66,3
2,6,3.3,0,15.47,2.1
2,7,3.4,0,15.89,2.1
2,8,3.6,0,15.14,2.2
2,9,4.2,0,14.78,1.9
2,10,7,1.5,11.75,2.7
2,11,8.5,0,9.65,2.6
2,12,4.4,0,15.98,3.5
2,13,3.9,0,12.53,1.9
2,14,6,0,16.15,3.1
2,15,9.6,0,14.48,2.7
2,16,6.3,0,13.24,3.1
2,17,5.8,0,12.29,3.3
2,18,3.5,0,17.52,3.8
2,19,5.7,0,15.07,2.2
2,20,7.5,0,16.42,2.5
2,21,5.9,0,7.96,2.6
2,22,2.7,2,2.97,2.8
2,23,3.7,0.5,7.54,2
2,24,7.4,0,15.84,2.5
2,25,5.6,0,6.45,2.3
2,26,6,0,13.43,2.7
2,27,7.7,0,15.75,2.4
2,28,9.1,1,12.63,2.5
3,1,12.4,48,15.94,3.2
3,2,9.4,0,19.03,3
3,3,9.7,0,17.26,2.1
3,4,13.9,0,17.7,3.7
3,5,15.6,15.5,4.22,4.9
3,6,8.3,3,16.25,3.5
3,7,5.2,0,8.71,2.8
3,8,5.9,26,1.78,2.9
3,9,11.6,58,1.9,3.6
3,10,7.3,1.5,13,2.8
3,11,9.2,0,13.54,2.2
3,12,9.9,0,21.02,3.4
3,13,11.6,0,19.25,2.6
3,14,14.3,0,19.99,2
3,15,15.9,0,15.27,4.1
3,16,13.2,4,2.9,4.5
3,17,7.4,0,22.13,3.2
3,18,11.3,0,12.22,2.9
3,19,13,0.5,7.6,2.1
3,20,8.4,10,4.62,3.7
3,21,3.8,31,1.85,3.1
3,22,9.5,20,7.71,2.8
3,23,11.9,2.5,14.81,2.6
3,24,11.3,0,19.24,2.7
3,25,13,0,22.65,2.7
3,26,14.1,0,19.15,2.2
3,27,15.7,0,18.64,2
3,28,17.2,0,21.05,2.5
3,29,18.1,0,21.58,2.4
3,30,13.8,0,23.1,4
3,31,13.4,0,22.74,3.2
4,1,16,0,20.96,3.7
4,2,17.9,0,19.87,2.6
4,3,17.9,0,19.73,2.3
4,4,20.1,0,21.79,3.3
4,5,13.3,0,8.43,3.3
4,6,18.1,1,13.85,5.3
4,7,16.2,0,9.12,4.1
4,8,11.9,0,20.22,2
4,9,13.7,0,24.22,3.7
4,10,13.6,0,24.67,3.3
4,11,17.6,0,16.72,6.5
4,12,19.1,0,20.32,2.4
4,13,15.5,0,25.23,3.9
4,14,15.2,0,8.82,4
4,15,17.9,19,6.33,4.8
4,16,14.7,0,17.27,3.7
4,17,12.7,2.5,4.42,2.3
4,18,12.7,28,6.57,2.3
4,19,16.2,0,22.94,3.3
4,20,18.7,0,25.15,3
4,21,18.9,0,25.8,2.8
4,22,20.5,0,25.5,2.1
4,23,16.5,0,6.17,3
4,24,18,1.5,6.79,3.3
4,25,19,57,8.52,3.5
4,26,18.9,0,25.95,3.9
4,27,18.5,0,13.57,2.9
4,28,20.1,0,27.31,4.4
4,29,20.1,0,26.17,4.4
4,30,20.8,0,22.81,4.5
5,1,22.3,0,25.73,2.9
5,2,20.4,3.5,14.7,3.2
5,3,21.9,14,12.59,6.2
5,4,18,0,27.13,3.8
5,5,18.3,0,27.54,3.3
5,6,21,0,24.88,4.5
5,7,17.9,21,7.91,4.3
5,8,12.9,10.5,2.45,3.1
5,9,12.1,35,6.61,2.9
5,10,12.1,9,9.88,1.8
5,11,16.4,0,26.73,3.7
5,12,18.8,0,22.85,2.8
5,13,17.9,49,6.62,3.4
5,14,21.1,0,27.55,2.9
5,15,22.3,0,27.43,3.6
5,16,23.5,0,26.06,4.3
5,17,24,0,19.55,3.7
5,18,23.4,0,24.21,3
5,19,21.5,0,13.61,3.9
5,20,16.8,0,27.97,3.5
5,21,20.3,0,26.79,2.4
5,22,21,0,28.67,3.1
5,23,18.6,9,9.07,2.3
5,24,20.7,6,21.03,2.8
5,25,22.8,0,21.71,3.7
5,26,21.4,0,16.12,2.7
5,27,21.3,0,26.61,2.9
5,28,21.6,0,10.12,2.5
5,29,23,0,18.24,3.2
5,30,21.1,8.5,9.72,2.6
5,31,19.5,0,8.09,2.4
6,1,21.7,0,25.58,3.4
6,2,21.9,0,25.67,2.4
6,3,22.5,0,25.06,2.8
6,4,23.5,0,29.7,2.8
6,5,23.2,0,18.92,2.3
6,6,20.3,12.5,6.08,1.7
6,7,22.2,1.5,22.77,2.6
6,8,23.7,1,21.33,4
6,9,25.7,0,23.16,2.7
6,10,20,31,2.09,3
6,11,18.9,50,3.12,2.9
6,12,20.5,0,11.93,2.2
6,13,21.5,0,21.2,2.7
6,14,20.6,0,15.02,3.4
6,15,17.6,9.5,2.81,3.2
6,16,15.9,3,6.84,2.8
6,17,18.7,0,13.97,2.3
6,18,19.4,2,4.16,1.9
6,19,22.7,0,23.38,3
6,20,20.8,24.5,3.72,2.7
6,21,21.2,2,8.08,2
6,22,23.1,0,22.93,2.7
6,23,20.6,16,4.81,1.7
6,24,21.3,2.5,13.81,2.1
6,25,26.2,0,27.67,2.4
6,26,25.7,0,25.44,3.6
6,27,27.7,0,23.27,7
6,28,27.4,0,17.49,6
6,29,28.2,0,28.39,6.9
6,30,28.6,0,28.51,5.8
7,1,28.1,0,28.19,5.1
7,2,28.8,0,29.11,3.7
7,3,28.4,0,26.29,5
7,4,27.6,0,15.68,6.6
7,5,26.7,2,6.96,6.9
7,6,21.7,28.5,2.93,3.1
7,7,25,0,16.16,3.8
7,8,27.4,0,21.06,3.9
7,9,27.3,3.5,18.22,3.2
7,10,28.5,0,27.49,3.7
7,11,29,0,18.38,2.1
7,12,26.6,3.5,14.83,2.6
7,13,29.1,0,22.77,2.7
7,14,30.1,0,22.12,2.8
7,15,29.7,0,26.36,3.2
7,16,29.9,0,24.03,3
7,17,29.9,0,24.6,3.4
7,18,30.5,0,24.65,3
7,19,29.9,0,26.92,3.6
