"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2019年03月08日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","A1101","","A1301","","A1303","","B1101","","B1103",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A1301_１５歳未満人口【人】","注釈","A1303_６５歳以上人口【人】","注釈","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","注釈","B1103_可住地面積【ｈａ】","注釈"
"2017100000","2017年度","01000","北海道","","5320000","","588000","","1632000","","7842078","","2237239",""
"2017100000","2017年度","02000","青森県","","1278000","","141000","","407000","","964564","","322970",""
"2017100000","2017年度","03000","岩手県","","1255000","","144000","","400000","","1527501","","371401",""
"2017100000","2017年度","04000","宮城県","","2323000","","280000","","631000","","728222","","315488",""
"2017100000","2017年度","05000","秋田県","","996000","","101000","","354000","","1163752","","320437",""
"2017100000","2017年度","06000","山形県","","1102000","","130000","","355000","","932315","","288480",""
"2017100000","2017年度","07000","福島県","","1882000","","220000","","569000","","1378390","","421711",""
"2017100000","2017年度","08000","茨城県","","2892000","","355000","","819000","","609719","","397512",""
"2017100000","2017年度","09000","栃木県","","1957000","","245000","","536000","","640809","","298276",""
"2017100000","2017年度","10000","群馬県","","1960000","","241000","","567000","","636228","","227936",""
"2017100000","2017年度","11000","埼玉県","","7310000","","899000","","1900000","","379775","","258464",""
"2017100000","2017年度","12000","千葉県","","6246000","","755000","","1692000","","515761","","355433",""
"2017100000","2017年度","13000","東京都","","13724000","","1542000","","3160000","","219396","","142143",""
"2017100000","2017年度","14000","神奈川県","","9159000","","1122000","","2274000","","241617","","147093",""
"2017100000","2017年度","15000","新潟県","","2267000","","265000","","709000","","1258415","","453532",""
"2017100000","2017年度","16000","富山県","","1056000","","124000","","334000","","424761","","184282",""
"2017100000","2017年度","17000","石川県","","1147000","","145000","","331000","","418605","","139182",""
"2017100000","2017年度","18000","福井県","","779000","","101000","","232000","","419051","","107729",""
"2017100000","2017年度","19000","山梨県","","823000","","99000","","245000","","446527","","95438",""
"2017100000","2017年度","20000","長野県","","2076000","","260000","","647000","","1356156","","322552",""
"2017100000","2017年度","21000","岐阜県","","2008000","","258000","","589000","","1062129","","221113",""
"2017100000","2017年度","22000","静岡県","","3675000","","464000","","1069000","","777742","","274948",""
"2017100000","2017年度","23000","愛知県","","7525000","","1010000","","1852000","","517292","","298821",""
"2017100000","2017年度","24000","三重県","","1800000","","226000","","522000","","577441","","205918",""
"2017100000","2017年度","25000","滋賀県","","1413000","","200000","","357000","","401738","","130722",""
"2017100000","2017年度","26000","京都府","","2599000","","308000","","743000","","461220","","117382",""
"2017100000","2017年度","27000","大阪府","","8823000","","1069000","","2399000","","190514","","133058",""
"2017100000","2017年度","28000","兵庫県","","5503000","","692000","","1558000","","840094","","278293",""
"2017100000","2017年度","29000","奈良県","","1348000","","163000","","408000","","369094","","85553",""
"2017100000","2017年度","30000","和歌山県","","945000","","112000","","304000","","472464","","111506",""
"2017100000","2017年度","31000","鳥取県","","565000","","72000","","175000","","350713","","90083",""
"2017100000","2017年度","32000","島根県","","685000","","85000","","230000","","670806","","129888",""
"2017100000","2017年度","33000","岡山県","","1907000","","243000","","567000","","711432","","221871",""
"2017100000","2017年度","34000","広島県","","2829000","","368000","","809000","","847963","","231109",""
"2017100000","2017年度","35000","山口県","","1383000","","164000","","462000","","611253","","170697",""
"2017100000","2017年度","36000","徳島県","","743000","","85000","","241000","","414680","","101035",""
"2017100000","2017年度","37000","香川県","","967000","","120000","","301000","","187677","","100559",""
"2017100000","2017年度","38000","愛媛県","","1364000","","164000","","437000","","567623","","167326",""
"2017100000","2017年度","39000","高知県","","714000","","80000","","244000","","710386","","116311",""
"2017100000","2017年度","40000","福岡県","","5107000","","675000","","1384000","","498652","","276153",""
"2017100000","2017年度","41000","佐賀県","","824000","","113000","","240000","","244068","","133561",""
"2017100000","2017年度","42000","長崎県","","1354000","","173000","","424000","","413088","","167496",""
"2017100000","2017年度","43000","熊本県","","1765000","","237000","","531000","","740948","","279626",""
"2017100000","2017年度","44000","大分県","","1152000","","143000","","367000","","634073","","179893",""
"2017100000","2017年度","45000","宮崎県","","1089000","","146000","","338000","","773532","","184988",""
"2017100000","2017年度","46000","鹿児島県","","1626000","","217000","","501000","","918701","","331288",""
"2017100000","2017年度","47000","沖縄県","","1443000","","247000","","303000","","228098","","116902",""
