ダウンロードした時刻：2019/05/07 17:05:02

,,,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),平均風速(m/s),平均風速(m/s),平均風速(m/s)
,,,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2018,1,1,6.2,8,1,0,1,8,1,11.59,8,1,2.7,8,1
2018,1,2,6.1,8,1,0,1,8,1,11.89,8,1,3.2,8,1
2018,1,3,4.9,8,1,0,1,8,1,11.77,8,1,5.2,8,1
2018,1,4,4.7,8,1,0,1,8,1,11.99,8,1,2.8,8,1
2018,1,5,3.7,8,1,0.0,0,8,1,4.07,8,1,1.8,8,1
2018,1,6,4.6,8,1,0,1,8,1,11.54,8,1,1.9,8,1
2018,1,7,6.3,8,1,0,1,8,1,11.88,8,1,2.8,8,1
2018,1,8,5.5,8,1,8.0,0,8,1,3.52,8,1,1.9,8,1
2018,1,9,8.5,8,1,1.5,0,8,1,8.34,8,1,2.7,8,1
2018,1,10,7.5,8,1,0,1,8,1,12.24,8,1,4.7,8,1
2018,1,11,5.3,8,1,0,1,8,1,12.27,8,1,2.4,8,1
2018,1,12,2.7,8,1,0,1,8,1,12.36,8,1,2.0,8,1
2018,1,13,2.7,8,1,0,1,8,1,12.35,8,1,2.3,8,1
2018,1,14,4.1,8,1,0,1,8,1,12.90,8,1,3.1,8,1
2018,1,15,4.2,8,1,0,1,8,1,11.53,8,1,2.0,8,1
2018,1,16,7.1,8,1,0,1,8,1,12.06,8,1,1.6,8,1
2018,1,17,6.9,8,1,15.0,0,8,1,2.72,8,1,2.1,8,1
2018,1,18,8.3,8,1,0.0,0,8,1,8.78,8,1,1.9,8,1
2018,1,19,8.4,8,1,0,1,8,1,8.64,8,1,2.7,8,1
2018,1,20,6.3,8,1,0.0,0,8,1,6.97,8,1,1.6,8,1
